hidden nodes: 900, learning rate: 0.003000,  L2-weight: 0.000000,  acc=[0.98060]
hidden nodes: 900, learning rate: 0.001000,  L2-weight: 0.100000,  acc=[0.97280]
hidden nodes: 900, learning rate: 0.001000,  L2-weight: 0.030000,  acc=[0.97130]
hidden nodes: 900, learning rate: 0.001000,  L2-weight: 0.010000,  acc=[0.97150]
hidden nodes: 900, learning rate: 0.001000,  L2-weight: 0.003000,  acc=[0.97190]
hidden nodes: 900, learning rate: 0.001000,  L2-weight: 0.000000,  acc=[0.97180]
hidden nodes: 900, learning rate: 0.000300,  L2-weight: 0.100000,  acc=[0.95440]
hidden nodes: 900, learning rate: 0.000300,  L2-weight: 0.030000,  acc=[0.95220]
hidden nodes: 900, learning rate: 0.000300,  L2-weight: 0.010000,  acc=[0.95040]
hidden nodes: 900, learning rate: 0.000300,  L2-weight: 0.003000,  acc=[0.95060]
hidden nodes: 900, learning rate: 0.000300,  L2-weight: 0.000000,  acc=[0.95070]
hidden nodes: 900, learning rate: 0.000100,  L2-weight: 0.100000,  acc=[0.93080]
hidden nodes: 900, learning rate: 0.000100,  L2-weight: 0.030000,  acc=[0.93110]
hidden nodes: 900, learning rate: 0.000100,  L2-weight: 0.010000,  acc=[0.93100]
hidden nodes: 900, learning rate: 0.000100,  L2-weight: 0.003000,  acc=[0.93110]
hidden nodes: 900, learning rate: 0.000100,  L2-weight: 0.000000,  acc=[0.93100]
